DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             0.007              -0.082             0.089         3.926
RESSURF           -0.016              -0.092             0.076         2.673
SOLIN            340.348             340.348             0.000         0.000
AAM            1.437e+26           1.334e+26         1.030e+25      -999.000
CHI_200           -0.001              -0.001             0.001         0.878
CLDHGH            38.230              38.465            -0.236         2.841
CLDLOW            39.814              42.333            -2.519         4.215
CLDMED            24.414              26.826            -2.412         3.592
CLDTOT            61.089              63.283            -2.194         3.691
EKE_850           27.794              29.279            -1.485         3.150
EP             8.793e-05          -1.012e-04         1.891e-04         0.500
FLNS              51.731              55.703            -3.971         5.519
FLNSC             73.701              81.240            -7.539         8.807
FLNT             241.610             237.486             4.124         5.589
FLNTC            264.728             261.689             3.038         4.949
FSDS             186.338             187.507            -1.169         7.146
FSDSC            242.990             247.130            -4.140         4.240
FSNS             164.732             163.508             1.225         6.125
FSNSC            216.602             217.858            -1.256         7.424
FSNSC_ICE         63.434              51.927            11.507        25.687
FSNSC_LAND       178.828             179.846            -1.018         3.869
FSNT             241.617             237.403             4.214         6.758
FSNTC            289.524             287.041             2.483         7.182
ICEAREA           10.235              19.869            -9.634         0.268
LHFLX             95.521              89.259             6.262         8.385
LWCF              23.118              24.204            -1.086         3.223
PRECT              3.283               3.059             0.224         0.505
PRECT_LAND         2.434               2.210             0.223         0.444
PRECT_OCEAN        3.741               3.568             0.174         0.532
PREH2O            32.292              25.552             6.740         7.425
PREH2O_OCEAN      36.747              29.889             6.858         8.118
PSI_200           -0.022              -0.021            -0.001         0.301
PS               986.053             985.392             0.661         1.284
PSL             1011.956            1011.521             0.435         1.098
QFLX               3.283               3.059             0.224         0.276
SHFLX             17.496              18.638            -1.142         4.151
SNOWHLND           9.949              11.174            -1.225         8.130
SST               23.500              20.555             2.945         3.002
STRESS_MAG         0.061               0.064            -0.003         0.008
SWCF             -47.907             -49.638             1.731         6.487
T_850            284.759             281.023             3.737         3.824
TGCLDLWP          42.223              40.882             1.341         8.520
TGCLDIWP          15.147              16.927            -1.781         5.118
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.109               0.104             0.005         0.015
AODDUST            0.021               0.022            -0.001         0.008
TREFHT           291.441             287.503             3.939         4.302
TS               292.186             288.302             3.883         4.305
TS_LAND          286.257             281.310             4.948         5.139
U_200             16.401              15.836             0.565         1.728
VT_850             0.109               0.137            -0.028         0.773
Z3_500            57.368              56.512             0.856         0.862
