DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: 0.5xCO2 (yrs 21-30)
 
CONTROL CASE: 1xCO2 (yrs 21-30)
 
Variable          0.5xCO2               1xCO2               0.5xCO2        RMSE
                                                            -1xCO2
RESTOM             7.270               7.726            -0.456         8.850
RESSURF            6.337               6.939            -0.602        14.362
SOLIN            350.480             350.480             0.000         0.000
AAM            1.538e+26           1.387e+26         1.510e+25      -999.000
CHI_200           -0.007              -0.009             0.002         1.529
CLDHGH            38.353              38.425            -0.072         5.201
CLDLOW            41.823              44.007            -2.184         5.238
CLDMED            25.427              27.658            -2.231         4.706
CLDTOT            62.658              64.410            -1.752         5.101
EKE_850           23.424              25.805            -2.381         5.165
EP             4.891e-03           5.824e-03        -9.335e-04         0.939
FLNS              50.431              54.564            -4.133         6.696
FLNSC             73.060              80.225            -7.165         9.744
FLNT             239.081             234.839             4.241         7.951
FLNTC            261.778             258.251             3.528         6.821
FSDS             192.143             194.472            -2.329        12.378
FSDSC            252.529             256.703            -4.174         4.824
FSNS             168.613             167.940             0.673         9.971
FSNSC            224.248             225.006            -0.758        13.282
FSNSC_ICE          0.292              22.482           -22.191         0.228
FSNSC_LAND       143.301             143.048             0.253         7.161
FSNT             246.351             242.566             3.785         9.925
FSNTC            297.438             294.410             3.028        13.049
ICEAREA           10.120              18.925            -8.805         0.279
LHFLX             96.550              89.568             6.983        13.372
LWCF              22.698              23.412            -0.714         4.969
PRECT              3.310               3.060             0.249         0.873
PRECT_LAND         2.514               2.205             0.309         0.768
PRECT_OCEAN        3.730               3.559             0.171         0.928
PREH2O            31.068              24.489             6.579         7.626
PREH2O_OCEAN      36.185              29.401             6.784         8.258
PSI_200            0.005               0.007            -0.002         0.504
PS               985.933             985.288             0.646         2.272
PSL             1012.132            1011.776             0.356         2.276
QFLX               3.315               3.066             0.248         0.408
SHFLX             15.295              16.870            -1.575         6.418
SNOWHLND          10.533              11.960            -1.427         8.209
SST               23.482              20.494             2.988         3.061
STRESS_MAG         0.068               0.069            -0.002         0.018
SWCF             -51.087             -51.844             0.757        10.844
T_850            283.237             279.463             3.774         3.968
TGCLDLWP          41.451              39.141             2.310        11.766
TGCLDIWP          15.216              16.810            -1.594         7.862
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.093               0.091             0.002         0.020
AODDUST            0.012               0.013            -0.002         0.009
TREFHT           289.691             285.505             4.185         4.999
TS                17.274              13.138             4.136         5.063
TS_LAND          280.127             274.582             5.546         6.140
U_200             17.078              16.203             0.875         3.058
VT_850            -0.746              -0.824             0.078         2.063
Z3_500            57.148              56.280             0.868         0.891
