DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: 0.5xCO2 (yrs 21-30)
 
CONTROL CASE: 1xCO2 (yrs 21-30)
 
Variable          0.5xCO2               1xCO2               0.5xCO2        RMSE
                                                            -1xCO2
RESTOM            -9.319              -9.779             0.460         8.948
RESSURF          -10.534             -10.622             0.089        13.815
SOLIN            330.417             330.417             0.000         0.000
AAM            1.222e+26           1.133e+26         8.931e+24      -999.000
CHI_200            0.007               0.008            -0.000         1.411
CLDHGH            37.628              37.909            -0.281         3.931
CLDLOW            38.931              41.621            -2.690         5.321
CLDMED            23.370              25.791            -2.421         4.902
CLDTOT            60.167              62.542            -2.376         4.960
EKE_850           24.708              25.515            -0.807         3.752
EP             1.226e-02           7.836e-03         4.424e-03         0.775
FLNS              51.684              55.474            -3.790         6.209
FLNSC             73.023              80.977            -7.954         9.361
FLNT             244.852             240.576             4.276         6.428
FLNTC            268.082             265.308             2.774         4.829
FSDS             176.908             177.102            -0.194         9.073
FSDSC            232.536             236.653            -4.117         4.848
FSNS             158.530             156.696             1.834        10.323
FSNSC            209.372             210.817            -1.445        11.589
FSNSC_ICE          1.206              39.827           -38.621         0.240
FSNSC_LAND       214.681             217.539            -2.858         5.165
FSNT             235.533             230.797             4.736        10.887
FSNTC            282.817             280.574             2.243        11.502
ICEAREA            9.259              20.596           -11.337         0.376
LHFLX             97.903              91.589             6.314        10.971
LWCF              23.230              24.732            -1.502         4.218
PRECT              3.356               3.135             0.221         0.745
PRECT_LAND         2.478               2.339             0.139         0.636
PRECT_OCEAN        3.785               3.610             0.175         0.798
PREH2O            34.109              27.009             7.100         7.914
PREH2O_OCEAN      37.075              30.283             6.792         8.481
PSI_200           -0.052              -0.051            -0.001         0.351
PS               986.232             985.535             0.697         1.634
PSL             1011.850            1011.339             0.511         1.492
QFLX               3.368               3.143             0.225         0.342
SHFLX             19.478              20.256            -0.779         6.322
SNOWHLND           9.219              10.229            -1.010         8.492
SST               23.163              20.235             2.927         2.993
STRESS_MAG         0.072               0.076            -0.004         0.013
SWCF             -47.284             -49.777             2.492         8.072
T_850            286.353             282.609             3.744         3.840
TGCLDLWP          45.277              45.059             0.219         9.840
TGCLDIWP          15.257              17.323            -2.066         6.937
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.130               0.123             0.007         0.025
AODDUST            0.031               0.032            -0.001         0.018
TREFHT           293.093             289.312             3.782         4.134
TS                20.658              16.938             3.721         4.172
TS_LAND          291.974             287.363             4.611         4.744
U_200             14.470              13.955             0.516         2.386
VT_850             1.001               1.105            -0.104         1.383
Z3_500            57.653              56.795             0.858         0.871
