DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             0.179               0.414            -0.235         5.566
RESSURF           -1.477              -1.391            -0.086         9.597
SOLIN            338.285             338.285             0.000         0.000
AAM            1.522e+26           1.452e+26         6.982e+24      -999.000
CHI_200           -0.006              -0.004            -0.001         0.846
CLDHGH            38.737              39.400            -0.662         4.136
CLDLOW            38.514              41.056            -2.543         4.941
CLDMED            24.253              26.930            -2.677         4.338
CLDTOT            60.644              63.134            -2.490         4.777
EKE_850           25.168              26.439            -1.271         3.102
EP             1.606e-02           1.309e-02         2.972e-03         0.698
FLNS              52.780              56.484            -3.705         6.018
FLNSC             74.258              81.631            -7.373         8.937
FLNT             240.791             236.492             4.299         6.942
FLNTC            264.427             261.427             3.000         5.160
FSDS             187.828             188.811            -0.983         8.427
FSDSC            241.894             245.810            -3.916         4.195
FSNS             164.841             163.634             1.207         7.917
FSNSC            213.971             215.257            -1.286         7.942
FSNSC_ICE         46.588              38.340             8.248        14.010
FSNSC_LAND       193.486             192.737             0.748         8.372
FSNT             240.970             236.906             4.064         8.202
FSNTC            286.423             284.115             2.308         7.858
ICEAREA           12.858              19.333            -6.475         0.288
LHFLX             95.025              88.955             6.070        10.816
LWCF              23.636              24.934            -1.299         4.208
PRECT              3.248               3.034             0.214         0.673
PRECT_LAND         2.366               2.155             0.211         0.513
PRECT_OCEAN        3.725               3.539             0.185         0.740
PREH2O            31.939              25.445             6.495         7.406
PREH2O_OCEAN      36.598              29.780             6.818         8.153
PSI_200           -0.014              -0.015             0.001         0.253
PS               986.019             985.381             0.637         1.443
PSL             1011.933            1011.516             0.417         1.250
QFLX               3.264               3.047             0.217         0.339
SHFLX             18.513              19.585            -1.072         5.441
SNOWHLND          10.688              12.138            -1.450         8.401
SST               23.477              20.523             2.954         3.023
STRESS_MAG         0.059               0.064            -0.005         0.010
SWCF             -45.452             -47.208             1.756         7.378
T_850            284.779             281.089             3.690         3.791
TGCLDLWP          39.901              38.600             1.301         9.867
TGCLDIWP          15.530              17.432            -1.902         5.974
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.107               0.104             0.003         0.018
AODDUST            0.027               0.028            -0.001         0.012
TREFHT           291.440             287.593             3.847         4.222
TS               292.224             288.428             3.795         4.245
TS_LAND          286.211             281.337             4.874         5.142
U_200             17.368              17.108             0.260         2.183
VT_850             0.103               0.092             0.012         1.100
Z3_500            57.336              56.486             0.850         0.860
