DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             1.893               1.300             0.593         7.427
RESSURF            5.638               4.711             0.926         9.376
SOLIN            342.210             342.210             0.000         0.000
AAM            1.470e+26           1.367e+26         1.023e+25      -999.000
CHI_200            0.005               0.001             0.003         0.833
CLDHGH            38.206              38.122             0.083         3.989
CLDLOW            39.992              42.668            -2.676         5.406
CLDMED            24.622              26.929            -2.308         4.069
CLDTOT            60.909              63.059            -2.150         4.595
EKE_850           24.723              26.558            -1.836         3.727
EP            -3.266e-02          -2.685e-02        -5.814e-03         0.703
FLNS              52.030              56.275            -4.245         6.324
FLNSC             74.480              82.122            -7.642         9.636
FLNT             241.704             238.041             3.663         6.133
FLNTC            264.618             261.777             2.841         5.358
FSDS             188.460             189.637            -1.176         9.950
FSDSC            245.001             249.361            -4.360         4.679
FSNS             166.930             165.758             1.172         8.913
FSNSC            218.810             220.360            -1.550        11.950
FSNSC_ICE         64.455              47.004            17.451        16.992
FSNSC_LAND       163.823             166.062            -2.240         3.222
FSNT             243.597             239.341             4.256         9.122
FSNTC            291.407             289.075             2.333        11.407
ICEAREA            8.637              20.640           -12.003         0.468
LHFLX             92.560              86.922             5.637        10.452
LWCF              22.914              23.736            -0.822         4.120
PRECT              3.218               3.007             0.211         0.680
PRECT_LAND         2.376               2.147             0.230         0.555
PRECT_OCEAN        3.613               3.506             0.107         0.735
PREH2O            32.041              25.262             6.779         7.614
PREH2O_OCEAN      35.866              29.413             6.453         8.279
PSI_200           -0.027              -0.025            -0.002         0.367
PS               986.029             985.363             0.665         1.434
PSL             1011.904            1011.454             0.451         1.292
QFLX               3.185               2.981             0.205         0.332
SHFLX             16.703              17.849            -1.147         5.576
SNOWHLND           9.358              10.374            -1.016         8.507
SST               23.153              20.183             2.970         3.044
STRESS_MAG         0.066               0.069            -0.003         0.012
SWCF             -47.811             -49.734             1.924         9.086
T_850            284.676             280.946             3.730         3.835
TGCLDLWP          42.246              40.742             1.504        11.050
TGCLDIWP          14.600              16.152            -1.552         6.368
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.105               0.098             0.007         0.018
AODDUST            0.017               0.017             0.001         0.007
TREFHT           291.542             287.601             3.941         4.490
TS               292.289             288.406             3.884         4.531
TS_LAND          286.730             281.961             4.769         5.003
U_200             16.690              16.065             0.625         2.195
VT_850             0.077               0.173            -0.096         1.294
Z3_500            57.333              56.486             0.847         0.859
