DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: 2xCO2 (yrs 21-30)
 
CONTROL CASE: 1xCO2 (yrs 21-30)
 
Variable           2xCO2                1xCO2                2xCO2        RMSE
                                                             -1xCO2
RESTOM           -28.751             -28.572            -0.179         3.757
RESSURF          -11.288             -11.425             0.137         2.918
SOLIN            302.693             302.693             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.057              -0.089             0.146         0.705
CLDHGH            36.145              36.243            -0.097         2.397
CLDLOW            41.229              44.395            -3.166         4.543
CLDMED            26.811              29.832            -3.021         3.632
CLDTOT            60.374              62.820            -2.445         3.466
EKE_850           32.052              34.175            -2.123         3.742
EP            -5.831e-03           1.663e-04        -5.997e-03         0.345
FLNS              58.903              61.120            -2.217         3.878
FLNSC             83.296              88.478            -5.182         7.237
FLNT             237.395             231.683             5.713         6.484
FLNTC            257.078             251.665             5.413         6.941
FSDS             167.654             168.622            -0.969         5.590
FSDSC            216.716             220.793            -4.077         4.167
FSNS             141.006             138.143             2.864         5.975
FSNSC            184.442             184.017             0.425         7.291
FSNSC_ICE         56.754              48.569             8.185        26.717
FSNSC_LAND       168.871             168.566             0.305         4.488
FSNT             208.644             203.110             5.534         7.261
FSNTC            248.530             244.581             3.949         7.833
ICEAREA            5.832              10.201            -4.369         0.249
LHFLX             70.251              64.107             6.144         8.230
LWCF              19.683              19.983            -0.300         2.536
PRECT              2.409               2.179             0.229         0.407
PRECT_LAND         1.908               1.693             0.215         0.411
PRECT_OCEAN        3.132               2.944             0.188         0.407
PREH2O            22.621              17.413             5.208         5.438
PREH2O_OCEAN      29.286              23.526             5.760         6.395
PSI_200           -7.448              -7.145            -0.303         0.361
PS               976.696             976.669             0.027         1.312
PSL             1016.319            1016.727            -0.408         1.151
QFLX               2.403               2.179             0.223         0.286
SHFLX             23.140              24.340            -1.201         4.283
SNOWHLND           2.852               4.741            -1.888         9.921
SST               21.242              18.027             3.215         3.313
STRESS_MAG         0.045               0.048            -0.002         0.008
SWCF             -39.886             -41.471             1.585         5.026
T_850            281.304             276.903             4.400         4.468
TGCLDLWP          38.046              35.982             2.064         7.782
TGCLDIWP          15.222              16.898            -1.676         5.214
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.090               0.086             0.004         0.010
AODDUST            0.033               0.033            -0.000         0.008
TREFHT           286.964             281.993             4.972         5.424
TS                14.484               9.526             4.958         5.477
TS_LAND          284.626             279.056             5.570         5.734
U_200             20.093              19.421             0.673         1.951
VT_850             0.192               0.259            -0.068         0.934
Z3_500            56.976              56.091             0.885         0.894
