DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: 2xCO2 (yrs 21-30)
 
CONTROL CASE: 1xCO2 (yrs 21-30)
 
Variable           2xCO2                1xCO2                2xCO2        RMSE
                                                             -1xCO2
RESTOM          -113.866            -109.232            -4.634         8.435
RESSURF          -83.770             -80.167            -3.602        16.381
SOLIN            162.398             162.398             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.695               4.174            -0.479         1.132
CLDHGH            35.608              35.524             0.083         4.721
CLDLOW            46.709              50.381            -3.672         6.601
CLDMED            33.138              35.712            -2.574         4.681
CLDTOT            64.229              66.996            -2.767         5.270
EKE_850           37.262              42.534            -5.272         8.032
EP             1.654e-01           1.495e-01         1.594e-02         0.787
FLNS              58.512              59.469            -0.956         5.020
FLNSC             85.097              87.348            -2.251         8.847
FLNT             222.689             214.787             7.902         9.769
FLNTC            240.577             232.567             8.010        11.058
FSDS              89.637              90.153            -0.516         6.111
FSDSC            114.076             116.256            -2.180         2.563
FSNS              74.022              72.210             1.812         5.467
FSNSC             94.833              94.301             0.532         6.103
FSNSC_ICE          0.292               1.170            -0.878         0.228
FSNSC_LAND        80.122              77.164             2.958         9.044
FSNT             108.823             105.555             3.268         5.910
FSNTC            128.551             126.146             2.405         6.389
ICEAREA            8.434              13.179            -4.745         0.297
LHFLX             79.096              70.132             8.964        15.913
LWCF              17.888              17.780             0.108         4.544
PRECT              2.495               2.191             0.304         0.767
PRECT_LAND         1.307               1.091             0.216         0.550
PRECT_OCEAN        4.007               3.700             0.308         0.979
PREH2O            15.141              11.490             3.651         4.074
PREH2O_OCEAN      22.278              18.201             4.076         5.067
PSI_200           -8.926              -8.420            -0.505         0.675
PS               976.127             976.786            -0.660         3.181
PSL             1017.108            1018.392            -1.284         3.248
QFLX               2.661               2.341             0.320         0.518
SHFLX             20.183              22.777            -2.594         9.629
SNOWHLND           4.117               6.307            -2.191         9.872
SST               19.432              16.231             3.200         3.314
STRESS_MAG         0.082               0.076             0.006         0.025
SWCF             -19.728             -20.591             0.863         5.269
T_850            274.306             269.662             4.644         4.923
TGCLDLWP          27.222              24.120             3.102        11.831
TGCLDIWP          16.252              18.901            -2.648        11.178
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.059               0.056             0.003         0.011
AODDUST            0.010               0.011            -0.001         0.004
TREFHT           278.615             272.448             6.167         7.358
TS                 6.279               0.115             6.164         7.539
TS_LAND          270.385             263.438             6.947         7.507
U_200             26.799              25.554             1.245         4.159
VT_850             0.265               0.427            -0.162         2.976
Z3_500            55.669              54.808             0.861         0.916
