DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            59.286              53.957             5.329        14.147
RESSURF           64.819              60.006             4.813        16.735
SOLIN            446.183             446.183             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.568              -4.233             0.666         1.377
CLDHGH            35.787              36.040            -0.253         3.097
CLDLOW            38.768              41.617            -2.850         5.573
CLDMED            19.902              22.850            -2.948         4.496
CLDTOT            58.318              60.262            -1.944         4.320
EKE_850           18.004              18.784            -0.780         2.512
EP            -2.737e-01          -2.005e-01        -7.327e-02         0.676
FLNS              55.620              58.706            -3.086         5.890
FLNSC             77.465              85.612            -8.147         8.890
FLNT             253.247             249.272             3.975         5.722
FLNTC            274.283             271.020             3.263         4.157
FSDS             241.740             242.291            -0.551        12.579
FSDSC            319.309             325.575            -6.266         6.804
FSNS             209.221             203.863             5.358        15.731
FSNSC            279.303             278.424             0.879        19.801
FSNSC_ICE       -999.000             123.123          -999.000      -999.000
FSNSC_LAND       260.264             263.971            -3.707         6.422
FSNT             312.532             303.229             9.304        16.945
FSNTC            376.474             370.265             6.210        20.170
ICEAREA            2.861               7.475            -4.614         0.299
LHFLX             61.705              58.658             3.047         7.587
LWCF              21.036              21.748            -0.711         2.868
PRECT              2.440               2.247             0.193         0.671
PRECT_LAND         2.728               2.543             0.185         0.764
PRECT_OCEAN        2.234               2.117             0.117         0.600
PREH2O            32.307              24.943             7.364         7.678
PREH2O_OCEAN      36.697              29.672             7.025         8.585
PSI_200           -5.251              -4.985            -0.266         0.360
PS               976.424             976.290             0.134         1.092
PSL             1014.779            1014.948            -0.169         0.964
QFLX               2.166               2.047             0.119         0.231
SHFLX             27.078              26.494             0.584         4.039
SNOWHLND           1.327               2.869            -1.542        10.505
SST               22.572              19.344             3.228         3.345
STRESS_MAG         0.042               0.048            -0.005         0.006
SWCF             -63.942             -67.036             3.094        10.953
T_850            289.252             284.908             4.344         4.380
TGCLDLWP          52.301              53.210            -0.909         9.666
TGCLDIWP          15.428              15.917            -0.489         3.799
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.125               0.119             0.006         0.021
AODDUST            0.054               0.054             0.000         0.018
TREFHT           295.185             291.092             4.093         4.237
TS               295.679             291.598             4.081         4.254
TS_LAND          298.522             293.671             4.851         4.928
U_200             11.921              11.703             0.218         2.194
VT_850             0.062               0.076            -0.014         1.207
Z3_500            58.399              57.514             0.885         0.893
