DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            14.939              13.957             0.981         7.497
RESSURF           16.864              16.171             0.694        10.399
SOLIN            366.058             366.058             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.768               1.577             0.191         0.668
CLDHGH            36.752              37.321            -0.569         3.765
CLDLOW            38.904              42.488            -3.584         5.585
CLDMED            27.616              31.102            -3.486         4.572
CLDTOT            59.731              62.926            -3.195         4.902
EKE_850           31.709              32.989            -1.280         3.090
EP             8.865e-02           4.084e-02         4.782e-02         0.433
FLNS              63.021              64.238            -1.217         4.572
FLNSC             87.591              91.989            -4.398         6.173
FLNT             233.558             227.533             6.025         7.095
FLNTC            253.695             248.500             5.195         6.343
FSDS             210.937             212.609            -1.672        10.444
FSDSC            268.483             272.987            -4.504         4.883
FSNS             169.463             165.225             4.238         9.911
FSNSC            219.864             217.778             2.086        12.553
FSNSC_ICE         46.891              44.829             2.062        14.003
FSNSC_LAND       203.881             200.371             3.510        11.083
FSNT             248.497             241.490             7.006        10.849
FSNTC            293.643             287.828             5.815        13.287
ICEAREA           11.670              13.650            -1.981         0.159
LHFLX             63.153              57.226             5.927        10.401
LWCF              20.137              20.967            -0.830         3.161
PRECT              2.055               1.893             0.162         0.432
PRECT_LAND         1.728               1.529             0.199         0.437
PRECT_OCEAN        2.648               2.542             0.106         0.453
PREH2O            18.635              14.693             3.942         4.212
PREH2O_OCEAN      24.615              20.148             4.468         4.993
PSI_200           -8.544              -8.356            -0.188         0.326
PS               977.308             977.128             0.179         1.459
PSL             1016.884            1017.128            -0.244         1.391
QFLX               2.144               1.934             0.210         0.345
SHFLX             26.424              27.590            -1.166         5.238
SNOWHLND           4.530               6.675            -2.145         9.509
SST               19.257              16.145             3.113         3.236
STRESS_MAG         0.043               0.047            -0.004         0.011
SWCF             -45.147             -46.338             1.191         8.808
T_850            279.655             275.410             4.245         4.337
TGCLDLWP          34.325              32.026             2.299        10.214
TGCLDIWP          15.788              17.997            -2.210         6.042
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.098               0.096             0.003         0.016
AODDUST            0.045               0.047            -0.002         0.014
TREFHT           285.300             280.748             4.552         4.862
TS               285.938             281.412             4.526         4.890
TS_LAND          284.679             279.433             5.246         5.494
U_200             22.293              21.338             0.954         2.880
VT_850             0.386               0.410            -0.024         1.276
Z3_500            56.622              55.767             0.855         0.869
