DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -75.346             -72.996            -2.350         5.242
RESSURF          -43.070             -41.705            -1.365        10.352
SOLIN            236.132             236.132             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.648              -1.860             0.212         0.654
CLDHGH            36.469              36.042             0.427         2.980
CLDLOW            40.565              43.133            -2.568         5.805
CLDMED            26.636              29.676            -3.040         4.022
CLDTOT            59.283              61.105            -1.823         4.202
EKE_850           28.054              31.002            -2.948         4.715
EP            -3.939e-03           9.940e-03        -1.388e-02         0.457
FLNS              58.440              62.022            -3.582         5.792
FLNSC             83.058              88.929            -5.871         9.910
FLNT             240.070             235.161             4.909         6.443
FLNTC            259.757             254.579             5.177         7.834
FSDS             128.275             129.430            -1.154         5.369
FSDSC            164.990             168.347            -3.357         3.575
FSNS             111.311             111.268             0.042         4.407
FSNSC            143.768             145.559            -1.791         3.542
FSNSC_ICE       -999.000               9.649          -999.000      -999.000
FSNSC_LAND       131.206             132.753            -1.547         2.983
FSNT             164.724             162.166             2.559         4.610
FSNTC            195.458             194.084             1.374         2.732
ICEAREA            0.280               6.515            -6.235         0.600
LHFLX             77.069              70.437             6.632        10.858
LWCF              19.687              19.418             0.268         3.481
PRECT              2.645               2.386             0.258         0.510
PRECT_LAND         1.871               1.613             0.257         0.507
PRECT_OCEAN        3.373               3.346             0.027         0.490
PREH2O            24.405              18.537             5.868         6.254
PREH2O_OCEAN      30.178              25.081             5.097         7.321
PSI_200           -7.073              -6.818            -0.255         0.325
PS               976.927             976.441             0.486         1.510
PSL             1016.503            1016.409             0.094         1.317
QFLX               2.641               2.396             0.244         0.365
SHFLX             18.872              20.515            -1.643         5.265
SNOWHLND           1.433               3.118            -1.686        11.020
SST               22.722              19.299             3.422         3.524
STRESS_MAG         0.046               0.052            -0.005         0.011
SWCF             -30.734             -31.918             1.185         4.496
T_850            282.035             277.677             4.359         4.437
TGCLDLWP          38.317              34.571             3.746        12.165
TGCLDIWP          13.473              14.762            -1.289         6.698
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.080               0.075             0.005         0.013
AODDUST            0.024               0.021             0.002         0.009
TREFHT           288.773             283.684             5.089         5.974
TS               289.508             284.430             5.078         6.112
TS_LAND          284.945             279.686             5.259         5.516
U_200             19.351              19.053             0.299         1.571
VT_850             0.029               0.106            -0.077         1.130
Z3_500            57.210              56.270             0.940         0.950
