DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -22.777             -23.073             0.297         4.458
RESSURF           -5.355              -5.246            -0.109         2.333
SOLIN            303.716             303.716             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.454               0.664            -0.210         0.538
CLDHGH            35.446              35.356             0.090         2.082
CLDLOW            48.367              51.974            -3.606         4.982
CLDMED            28.252              31.336            -3.084         3.897
CLDTOT            64.089              67.066            -2.977         4.260
EKE_850           38.852              41.052            -2.200         3.372
EP             1.650e-01           1.157e-01         4.928e-02         0.330
FLNS              51.464              54.307            -2.843         4.622
FLNSC             81.168              87.837            -6.670         7.929
FLNT             231.314             226.667             4.648         5.190
FLNTC            251.147             247.413             3.735         4.858
FSDS             165.343             166.323            -0.979         8.940
FSDSC            219.498             223.565            -4.067         4.178
FSNS             143.102             140.658             2.445         6.302
FSNSC            192.315             192.350            -0.035        10.013
FSNSC_ICE         65.314              56.432             8.882        25.389
FSNSC_LAND       118.224             120.131            -1.907         2.533
FSNT             208.538             203.593             4.944         7.246
FSNTC            253.103             249.888             3.215         9.907
ICEAREA            4.403               9.668            -5.265         0.287
LHFLX             84.428              76.949             7.479         8.521
LWCF              19.833              20.746            -0.913         2.849
PRECT              2.704               2.487             0.217         0.374
PRECT_LAND         1.595               1.353             0.241         0.352
PRECT_OCEAN        2.980               2.828             0.152         0.347
PREH2O            21.674              17.042             4.632         4.981
PREH2O_OCEAN      23.781              19.447             4.334         5.222
PSI_200            8.069               7.762             0.307         0.361
PS               983.723             982.621             1.101         1.566
PSL             1007.952            1007.040             0.912         1.276
QFLX               2.869               2.603             0.266         0.298
SHFLX             12.566              14.648            -2.082         4.308
SNOWHLND          45.949              47.379            -1.430         9.312
SST               17.877              14.731             3.146         3.189
STRESS_MAG         0.083               0.086            -0.004         0.009
SWCF             -44.566             -46.295             1.729         8.343
T_850            278.771             275.046             3.725         3.782
TGCLDLWP          40.099              38.135             1.964        10.904
TGCLDIWP          13.046              16.090            -3.044         6.320
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.094               0.081             0.013         0.018
AODDUST            0.002               0.002            -0.000         0.001
TREFHT           284.627             280.641             3.986         4.253
TS               285.250             281.340             3.910         4.235
TS_LAND          267.864             262.902             4.962         5.112
U_200             26.817              25.905             0.912         1.834
VT_850            -0.217              -0.275             0.058         0.687
Z3_500            55.711              54.829             0.882         0.888
