DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: 2xCO2 (yrs 21-30)
 
CONTROL CASE: 1xCO2 (yrs 21-30)
 
Variable           2xCO2                1xCO2                2xCO2        RMSE
                                                             -1xCO2
RESTOM            80.599              77.467             3.132        11.967
RESSURF           87.962              85.355             2.606        16.725
SOLIN            469.683             469.683             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.141              -3.527             0.386         1.223
CLDHGH            34.859              34.588             0.272         3.678
CLDLOW            49.858              52.024            -2.166         4.855
CLDMED            24.663              27.509            -2.847         4.489
CLDTOT            65.162              66.744            -1.581         4.449
EKE_850           25.423              27.310            -1.887         3.353
EP             2.256e-02           2.953e-02        -6.972e-03         0.566
FLNS              46.592              50.924            -4.331         6.713
FLNSC             76.390              84.643            -8.253         9.077
FLNT             239.617             236.394             3.224         5.044
FLNTC            258.845             256.164             2.681         3.627
FSDS             258.732             263.142            -4.410        18.101
FSDSC            347.096             353.268            -6.172         6.557
FSNS             219.534             217.243             2.291        13.561
FSNSC            301.271             300.009             1.262        22.173
FSNSC_ICE       -999.000             111.412          -999.000      -999.000
FSNSC_LAND       175.400             178.100            -2.700         4.086
FSNT             320.216             313.860             6.356        13.956
FSNTC            392.799             386.514             6.285        22.057
ICEAREA            1.686               5.746            -4.060         0.260
LHFLX             74.930              69.301             5.629         9.753
LWCF              19.227              19.770            -0.543         3.099
PRECT              2.550               2.338             0.211         0.566
PRECT_LAND         2.608               2.177             0.431         0.781
PRECT_OCEAN        2.555               2.439             0.115         0.511
PREH2O            26.468              20.750             5.718         6.331
PREH2O_OCEAN      27.647              22.383             5.265         6.337
PSI_200            7.444               7.042             0.402         0.501
PS               984.240             982.944             1.296         1.969
PSL             1008.006            1006.911             1.096         1.916
QFLX               2.572               2.368             0.204         0.313
SHFLX             10.050              11.663            -1.613         3.837
SNOWHLND          45.626              47.318            -1.691         9.814
SST               18.948              15.729             3.218         3.276
STRESS_MAG         0.073               0.076            -0.003         0.017
SWCF             -72.583             -72.654             0.071        16.077
T_850            281.545             277.903             3.642         3.685
TGCLDLWP          46.822              43.994             2.828        13.319
TGCLDIWP          10.801              12.531            -1.730         4.467
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.090               0.082             0.008         0.018
AODDUST            0.002               0.003            -0.000         0.003
TREFHT           287.874             284.349             3.525         3.621
TS                15.184              11.735             3.449         3.565
TS_LAND          277.076             272.840             4.236         4.400
U_200             21.944              20.906             1.037         2.276
VT_850            -0.106              -0.143             0.036         1.473
Z3_500            56.406              55.511             0.895         0.910
