DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: 0.5xCO2 (yrs 21-30)
 
CONTROL CASE: 1xCO2 (yrs 21-30)
 
Variable          0.5xCO2               1xCO2               0.5xCO2        RMSE
                                                            -1xCO2
RESTOM          -119.310            -116.084            -3.226         4.857
RESSURF          -92.395             -89.066            -3.329        16.147
SOLIN            150.545             150.545             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.035               4.843            -0.808         0.995
CLDHGH            35.204              35.109             0.095         3.453
CLDLOW            47.712              52.394            -4.681         6.619
CLDMED            31.841              34.965            -3.124         5.333
CLDTOT            63.355              67.377            -4.022         5.873
EKE_850           48.302              51.204            -2.903         5.641
EP             2.455e-01           1.683e-01         7.721e-02         0.480
FLNS              55.474              57.122            -1.648         5.099
FLNSC             85.627              90.896            -5.269         8.491
FLNT             223.638             217.796             5.842         6.816
FLNTC            244.296             239.590             4.705         6.791
FSDS              78.206              77.117             1.089         4.011
FSDSC            102.343             104.379            -2.036         2.279
FSNS              71.099              69.698             1.401         3.498
FSNSC             92.168              93.420            -1.252         2.616
FSNSC_ICE          1.206               2.156            -0.950         0.240
FSNSC_LAND        68.554              69.588            -1.034         1.728
FSNT             104.329             101.712             2.616         4.044
FSNTC            124.609             124.235             0.374         1.841
ICEAREA            6.397              13.121            -6.723         0.446
LHFLX             93.416              84.378             9.038        12.367
LWCF              20.657              21.794            -1.137         4.190
PRECT              2.913               2.669             0.244         0.544
PRECT_LAND         0.901               0.785             0.116         0.354
PRECT_OCEAN        3.394               3.207             0.187         0.543
PREH2O            17.340              13.621             3.719         4.033
PREH2O_OCEAN      19.691              16.143             3.548         4.384
PSI_200            8.111               7.774             0.337         0.461
PS               983.910             982.542             1.367         2.552
PSL             1008.494            1007.313             1.182         2.356
QFLX               3.159               2.838             0.321         0.424
SHFLX             14.604              17.264            -2.660         9.649
SNOWHLND          46.193              47.414            -1.221         9.298
SST               16.429              13.309             3.120         3.170
STRESS_MAG         0.096               0.099            -0.003         0.018
SWCF             -20.281             -22.523             2.243         4.146
T_850            276.017             272.263             3.755         3.896
TGCLDLWP          35.333              32.939             2.394        11.301
TGCLDIWP          15.645              20.099            -4.454        10.699
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.096               0.079             0.017         0.023
AODDUST            0.001               0.002            -0.000         0.001
TREFHT           281.687             277.306             4.381         5.018
TS                 9.297               4.997             4.300         5.143
TS_LAND          260.010             254.812             5.198         5.433
U_200             31.159              30.169             0.990         3.118
VT_850            -0.318              -0.415             0.096         1.804
Z3_500            55.107              54.207             0.901         0.927
