DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -73.090             -71.493            -1.597         4.388
RESSURF          -48.303             -46.801            -1.502        11.216
SOLIN            229.109             229.109             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.207              -0.967            -0.239         0.640
CLDHGH            35.825              36.188            -0.363         3.009
CLDLOW            47.147              50.595            -3.449         5.615
CLDMED            27.784              31.314            -3.530         4.562
CLDTOT            63.543              66.528            -2.985         4.844
EKE_850           36.643              38.629            -1.986         3.780
EP             1.661e-01           1.091e-01         5.693e-02         0.449
FLNS              50.246              53.241            -2.995         5.509
FLNSC             78.755              85.873            -7.118         9.231
FLNT             232.426             227.292             5.134         6.058
FLNTC            252.879             248.941             3.938         5.868
FSDS             119.295             118.483             0.811         5.620
FSDSC            159.581             162.621            -3.040         3.169
FSNS             108.203             106.651             1.552         5.108
FSNSC            144.362             146.214            -1.852         4.550
FSNSC_ICE         22.326              18.850             3.476        14.592
FSNSC_LAND        92.791              94.425            -1.634         2.300
FSNT             159.336             155.799             3.537         5.784
FSNTC            193.236             192.450             0.786         3.813
ICEAREA            1.189               5.683            -4.494         0.426
LHFLX             93.973              85.747             8.226        11.027
LWCF              20.453              21.649            -1.196         3.321
PRECT              3.033               2.799             0.233         0.468
PRECT_LAND         1.531               1.316             0.215         0.381
PRECT_OCEAN        3.360               3.177             0.183         0.458
PREH2O            23.967              18.798             5.169         5.577
PREH2O_OCEAN      25.773              20.925             4.848         5.790
PSI_200            8.253               8.180             0.074         0.185
PS               983.645             982.607             1.039         1.902
PSL             1007.991            1007.135             0.856         1.530
QFLX               3.199               2.909             0.290         0.361
SHFLX             12.287              14.464            -2.177         6.259
SNOWHLND          45.328              47.271            -1.943        11.530
SST               18.724              15.505             3.219         3.265
STRESS_MAG         0.082               0.088            -0.005         0.010
SWCF             -33.900             -36.651             2.750         5.706
T_850            279.929             276.125             3.803         3.881
TGCLDLWP          39.956              39.005             0.950        12.098
TGCLDIWP          13.102              16.381            -3.279         7.091
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.095               0.083             0.012         0.017
AODDUST            0.001               0.001            -0.000         0.001
TREFHT           285.809             281.634             4.175         4.693
TS               286.520             282.422             4.098         4.750
TS_LAND          266.220             260.616             5.604         5.873
U_200             25.478              25.036             0.442         1.513
VT_850            -0.180              -0.217             0.038         1.193
Z3_500            55.966              55.049             0.917         0.928
