DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            20.599              17.799             2.801        10.375
RESSURF           31.231              29.516             1.715        10.683
SOLIN            365.528             365.528             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            2.103               2.305            -0.202         0.589
CLDHGH            35.889              35.521             0.368         3.662
CLDLOW            48.757              52.887            -4.131         6.029
CLDMED            28.740              31.556            -2.816         4.409
CLDTOT            64.295              67.611            -3.316         5.238
EKE_850           37.542              39.782            -2.240         4.203
EP             2.210e-01           1.567e-01         6.435e-02         0.460
FLNS              53.542              55.947            -2.405         4.882
FLNSC             83.901              89.945            -6.044         7.315
FLNT             229.554             225.213             4.340         5.323
FLNTC            248.572             244.977             3.595         4.613
FSDS             205.056             206.556            -1.500        13.965
FSDSC            268.980             273.995            -5.015         5.419
FSNS             173.462             169.043             4.419        12.501
FSNSC            231.428             229.761             1.668        20.232
FSNSC_ICE         64.455              61.189             3.266        16.992
FSNSC_LAND       136.152             138.405            -2.254         2.938
FSNT             250.153             243.012             7.141        13.012
FSNTC            301.724             296.360             5.364        19.892
ICEAREA            8.357              14.125            -5.768         0.364
LHFLX             75.378              68.360             7.018        10.151
LWCF              19.018              19.763            -0.745         3.298
PRECT              2.324               2.139             0.185         0.477
PRECT_LAND         1.349               1.134             0.215         0.425
PRECT_OCEAN        2.578               2.448             0.131         0.478
PREH2O            18.917              14.994             3.923         4.305
PREH2O_OCEAN      21.085              17.374             3.711         4.538
PSI_200            8.463               8.049             0.414         0.508
PS               983.084             982.420             0.664         1.751
PSL             1007.299            1006.827             0.472         1.597
QFLX               2.545               2.296             0.249         0.349
SHFLX             13.311              15.220            -1.909         5.932
SNOWHLND          46.655              47.515            -0.860         7.573
SST               16.367              13.267             3.100         3.158
STRESS_MAG         0.094               0.095            -0.001         0.015
SWCF             -51.571             -53.348             1.777        12.971
T_850            277.588             273.900             3.688         3.777
TGCLDLWP          38.363              36.581             1.782        11.660
TGCLDIWP          12.650              15.341            -2.691         7.501
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.097               0.081             0.016         0.023
AODDUST            0.003               0.004            -0.000         0.002
TREFHT           283.132             279.277             3.854         4.087
TS               283.691             279.912             3.779         4.070
TS_LAND          268.133             263.364             4.769         4.935
U_200             28.687              27.478             1.210         3.058
VT_850            -0.255              -0.318             0.063         1.623
Z3_500            55.364              54.553             0.811         0.829
