DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: 2xCO2 (yrs 21-30)
 
CONTROL CASE: 1xCO2 (yrs 21-30)
 
Variable           2xCO2                1xCO2                2xCO2        RMSE
                                                             -1xCO2
RESTOM            46.668              46.523             0.145         3.544
RESSURF           15.023              14.833             0.190         2.727
SOLIN            407.600             407.600             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.464              -0.524             0.060         1.207
CLDHGH            42.637              43.293            -0.655         3.681
CLDLOW            30.789              31.738            -0.948         2.962
CLDMED            18.768              20.021            -1.253         3.252
CLDTOT            59.021              60.279            -1.258         3.315
EKE_850           14.688              15.020            -0.333         2.278
EP            -1.438e-01          -1.052e-01        -3.865e-02         0.704
FLNS              45.480              52.062            -6.582         7.255
FLNSC             58.255              68.714           -10.459        10.662
FLNT             254.746             252.534             2.212         5.036
FLNTC            283.948             283.689             0.259         1.965
FSDS             222.259             223.782            -1.523         6.548
FSDSC            288.043             292.307            -4.264         4.359
FSNS             205.794             207.157            -1.364         6.096
FSNSC            267.704             271.587            -3.883         4.002
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       239.884             242.866            -2.981         3.284
FSNT             301.414             299.057             2.357         5.752
FSNTC            359.608             359.116             0.492         0.739
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            128.441             123.173             5.268         8.398
LWCF              29.202              31.155            -1.953         4.003
PRECT              4.600               4.374             0.226         0.665
PRECT_LAND         3.951               3.723             0.228         0.545
PRECT_OCEAN        4.788               4.558             0.231         0.699
PREH2O            50.659              40.624            10.035        10.281
PREH2O_OCEAN      53.006              42.581            10.425        10.660
PSI_200           -0.624              -0.617            -0.007         0.136
PS               996.635             995.797             0.838         0.927
PSL             1011.631            1010.866             0.766         0.844
QFLX               4.456               4.269             0.187         0.245
SHFLX             16.850              17.089            -0.239         3.875
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.679              27.051             2.629         2.646
STRESS_MAG         0.049               0.053            -0.004         0.007
SWCF             -58.194             -60.059             1.865         5.690
T_850            292.843             289.659             3.184         3.213
TGCLDLWP          47.926              47.805             0.121         6.447
TGCLDIWP          16.980              17.712            -0.732         3.584
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.138               0.140            -0.002         0.015
AODDUST            0.029               0.030            -0.002         0.011
TREFHT           301.663             298.703             2.960         3.002
TS                29.435              26.548             2.887         2.949
TS_LAND          301.665             297.883             3.782         3.818
U_200              3.628               3.474             0.153         1.379
VT_850             0.316               0.385            -0.068         0.686
Z3_500            59.223              58.417             0.806         0.806
