DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            50.551              50.473             0.078         5.103
RESSURF           14.015              14.806            -0.791         9.142
SOLIN            412.836             412.836             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.520              -0.610             0.090         2.014
CLDHGH            44.001              44.526            -0.525         6.603
CLDLOW            30.127              30.979            -0.852         4.043
CLDMED            19.139              20.501            -1.362         4.917
CLDTOT            58.969              59.957            -0.988         5.483
EKE_850            9.822              10.178            -0.357         2.735
EP            -1.564e-01          -1.457e-01        -1.074e-02         1.275
FLNS              46.590              53.418            -6.828         7.899
FLNSC             59.149              69.777           -10.629        11.018
FLNT             253.434             251.585             1.849         8.263
FLNTC            283.628             283.391             0.236         2.858
FSDS             224.658             226.745            -2.087        10.009
FSDSC            292.259             296.430            -4.171         4.532
FSNS             208.147             209.970            -1.824         9.267
FSNSC            271.679             275.434            -3.755         4.124
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       244.149             247.127            -2.978         3.961
FSNT             303.985             302.059             1.927         8.300
FSNTC            364.001             363.357             0.644         1.089
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            131.925             125.511             6.414        13.682
LWCF              30.193              31.806            -1.613         6.481
PRECT              4.735               4.501             0.234         1.148
PRECT_LAND         4.668               4.268             0.400         1.051
PRECT_OCEAN        4.733               4.540             0.192         1.173
PREH2O            49.651              39.641            10.010        10.590
PREH2O_OCEAN      51.987              41.773            10.214        10.792
PSI_200            1.356               1.267             0.089         0.273
PS               996.344             995.106             1.238         1.357
PSL             1011.364            1010.191             1.172         1.297
QFLX               4.578               4.355             0.223         0.368
SHFLX             15.616              16.235            -0.619         4.302
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.713              27.044             2.669         2.701
STRESS_MAG         0.055               0.060            -0.005         0.012
SWCF             -60.016             -61.298             1.283         8.449
T_850            292.361             289.199             3.162         3.213
TGCLDLWP          49.470              48.346             1.124        10.089
TGCLDIWP          18.276              18.791            -0.516         6.524
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.126               0.131            -0.005         0.026
AODDUST            0.022               0.025            -0.004         0.014
TREFHT           301.363             298.373             2.990         3.059
TS               302.270             299.348             2.922         3.013
TS_LAND          300.275             296.452             3.823         3.924
U_200              3.872               3.480             0.392         2.437
VT_850            -2.163              -2.479             0.316         1.449
Z3_500            59.159              58.310             0.849         0.850
