DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            28.149              28.761            -0.612         4.743
RESSURF           -4.641              -3.547            -1.094         6.843
SOLIN            388.453             388.453             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.402              -0.529             0.128         1.727
CLDHGH            41.490              42.137            -0.647         4.895
CLDLOW            31.130              31.873            -0.742         3.435
CLDMED            18.840              20.148            -1.309         4.847
CLDTOT            58.954              60.229            -1.276         4.587
EKE_850           10.267               9.301             0.966         2.353
EP             5.998e-02           5.112e-02         8.860e-03         1.032
FLNS              44.690              51.055            -6.366         7.308
FLNSC             57.593              67.801           -10.209        10.463
FLNT             256.457             253.326             3.131         6.665
FLNTC            284.003             283.419             0.583         2.855
FSDS             207.570             208.604            -1.033         8.575
FSDSC            271.845             275.900            -4.055         4.411
FSNS             191.792             192.755            -0.963         8.025
FSNSC            252.167             255.891            -3.724         4.041
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       226.498             228.960            -2.462         3.826
FSNT             284.606             282.087             2.519         7.640
FSNTC            341.256             340.911             0.345         0.702
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            134.734             127.929             6.806        12.155
LWCF              27.546              30.093            -2.547         5.164
PRECT              4.587               4.361             0.225         0.940
PRECT_LAND         3.060               2.990             0.070         0.507
PRECT_OCEAN        5.055               4.776             0.280         1.043
PREH2O            50.922              40.999             9.923        10.388
PREH2O_OCEAN      53.591              43.147            10.444        10.849
PSI_200           -2.736              -2.668            -0.068         0.193
PS               997.213             996.614             0.599         0.724
PSL             1012.237            1011.716             0.521         0.626
QFLX               4.647               4.413             0.234         0.343
SHFLX             17.009              17.318            -0.309         3.645
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.522              26.922             2.600         2.613
STRESS_MAG         0.068               0.072            -0.003         0.009
SWCF             -56.650             -58.824             2.174         7.680
T_850            292.710             289.490             3.220         3.254
TGCLDLWP          47.921              48.651            -0.730         8.483
TGCLDIWP          14.751              16.084            -1.333         4.306
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.166               0.166             0.000         0.029
AODDUST            0.036               0.038            -0.002         0.024
TREFHT           301.525             298.569             2.956         2.998
TS               302.400             299.530             2.870         2.930
TS_LAND          301.320             297.550             3.770         3.808
U_200              1.670               1.313             0.357         1.684
VT_850             2.933               3.280            -0.347         1.075
Z3_500            59.281              58.486             0.794         0.795
