DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            53.148              53.251            -0.103         4.331
RESSURF           24.311              23.821             0.490         6.860
SOLIN            411.980             411.980             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.524              -0.564             0.040         1.113
CLDHGH            43.172              44.189            -1.017         5.201
CLDLOW            30.345              31.125            -0.779         3.440
CLDMED            18.011              19.184            -1.172         3.890
CLDTOT            58.847              60.250            -1.403         4.598
EKE_850            9.764              10.422            -0.658         2.385
EP            -1.855e-01          -9.897e-02        -8.648e-02         1.008
FLNS              45.802              52.401            -6.599         7.441
FLNSC             58.115              68.413           -10.298        10.622
FLNT             254.913             252.932             1.981         7.526
FLNTC            284.597             284.433             0.165         2.692
FSDS             228.952             230.934            -1.982         8.500
FSDSC            292.341             296.517            -4.176         4.334
FSNS             211.931             213.779            -1.848         7.976
FSNSC            271.654             275.480            -3.827         3.984
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       242.518             245.504            -2.987         3.472
FSNT             308.061             306.183             1.877         7.228
FSNTC            364.248             363.737             0.511         0.761
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            124.830             120.582             4.248        10.989
LWCF              29.684              31.500            -1.816         5.545
PRECT              4.523               4.278             0.245         0.952
PRECT_LAND         4.088               3.856             0.232         0.688
PRECT_OCEAN        4.646               4.391             0.256         1.021
PREH2O            51.202              41.196            10.006        10.484
PREH2O_OCEAN      53.495              43.056            10.439        10.899
PSI_200            0.224               0.118             0.106         0.230
PS               996.054             995.365             0.689         0.808
PSL             1011.020            1010.401             0.619         0.724
QFLX               4.337               4.179             0.158         0.313
SHFLX             16.988              16.975             0.013         4.784
SNOWHLND           0.000               0.000             0.000         0.000
SST               30.077              27.454             2.623         2.651
STRESS_MAG         0.046               0.051            -0.005         0.009
SWCF             -56.187             -57.554             1.366         7.299
T_850            293.308             290.182             3.126         3.160
TGCLDLWP          44.900              44.185             0.716         6.833
TGCLDIWP          17.496              17.872            -0.376         4.662
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.126               0.130            -0.004         0.021
AODDUST            0.033               0.034            -0.001         0.015
TREFHT           302.097             299.184             2.913         2.960
TS               303.077             300.217             2.860         2.929
TS_LAND          302.511             298.818             3.693         3.748
U_200              5.568               6.102            -0.534         1.955
VT_850             0.103               0.084             0.020         0.820
Z3_500            59.222              58.438             0.784         0.785
