DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            54.883              53.623             1.260         5.720
RESSURF           26.564              24.277             2.287         6.837
SOLIN            417.133             417.133             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.399              -0.399            -0.000         1.118
CLDHGH            41.875              42.360            -0.485         4.953
CLDLOW            31.540              32.997            -1.457         4.328
CLDMED            19.070              20.255            -1.185         3.781
CLDTOT            59.315              60.706            -1.391         4.305
EKE_850           10.904              11.444            -0.540         1.875
EP            -2.883e-01          -2.263e-01        -6.203e-02         1.005
FLNS              44.859              51.371            -6.512         7.775
FLNSC             58.186              68.879           -10.693        11.117
FLNT             254.182             252.261             1.922         6.517
FLNTC            283.545             283.503             0.042         2.422
FSDS             227.922             228.825            -0.903         8.695
FSDSC            295.728             300.403            -4.675         4.835
FSNS             211.370             212.115            -0.745         8.014
FSNSC            275.322             279.568            -4.245         4.402
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       246.318             249.895            -3.577         3.803
FSNT             309.066             305.884             3.182         7.832
FSNTC            368.932             368.475             0.457         0.861
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            122.138             118.652             3.486        10.345
LWCF              29.362              31.242            -1.880         5.187
PRECT              4.546               4.355             0.191         0.926
PRECT_LAND         3.982               3.794             0.188         0.698
PRECT_OCEAN        4.709               4.518             0.191         0.989
PREH2O            50.835              40.647            10.189        10.524
PREH2O_OCEAN      52.912              42.321            10.591        10.893
PSI_200           -1.335              -1.185            -0.150         0.225
PS               996.934             996.106             0.829         0.970
PSL             1011.910            1011.156             0.754         0.901
QFLX               4.258               4.129             0.129         0.281
SHFLX             17.809              17.816            -0.007         5.517
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.401              26.784             2.617         2.643
STRESS_MAG         0.053               0.056            -0.004         0.009
SWCF             -59.866             -62.591             2.725         7.839
T_850            293.002             289.772             3.230         3.288
TGCLDLWP          49.319              50.097            -0.778         9.279
TGCLDIWP          17.386              18.144            -0.758         4.734
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.135               0.133             0.001         0.018
AODDUST            0.024               0.024             0.000         0.008
TREFHT           301.664             298.683             2.981         3.038
TS               302.591             299.694             2.897         2.981
TS_LAND          302.560             298.702             3.858         3.929
U_200              3.420               3.028             0.392         1.685
VT_850             0.401               0.649            -0.248         1.092
Z3_500            59.226              58.431             0.795         0.795
